absolute_magnitude,est_dia_in_km_max,epoch_date_close_approach,relative_velocity_km_per_hr,miss_dist_astronomical,orbit_uncertainity,minimum_orbit_intersection,epoch_osculation,eccentricity,semi_major_axis,inclination,asc_node_longitude,perihelion_distance,mean_anomaly,hazardous
25.8,0.0411187571,801126000000,17366.0350781873,0.4017865719,6,0.00120536,2458000.5,0.3500664333192877,1.365936091394591,0.6544971567741348,214.1302323153935,0.887767715737998,313.2636057069759,False
24.3,0.0820427065,802594800000,41429.694708589,0.0258608669,7,0.0222117,2458000.5,0.202625295607249,1.253655419096375,20.00369553323626,256.4453282720152,0.9996331192123424,285.6728098139616,False
19.6,0.7145621017,802594800000,65997.8423187595,0.355113415,0,0.0142281,2457800.5,0.2348032024240591,1.187057031586828,27.42819291107595,91.3017276853694,0.9083322391102431,349.2002761211894,True
26.2,0.0342010925,802594800000,28534.9016509411,0.1628003234,6,0.00634687,2458000.5,0.1197566329200361,1.126601949757105,6.507326870768589,242.5828956419752,0.9916838936130462,301.1588142652097,False
20.8,0.411187571,802594800000,70802.2042868531,0.3665254682,1,0.113249,2458000.5,0.2991539178730141,0.9127170167367619,21.03334897898406,87.57392832159935,0.6396741452705902,278.3844048313936,False
19.6,0.7145621017,802594800000,65997.7472403997,0.3551124243,0,0.014981,2458000.5,0.2347705612442139,1.18707590311588,27.42934756970816,91.29622833768234,0.9083854271018823,141.6139706740252,True
20.616,0.447548369,802594800000,62932.8813383124,0.3236887064,5,0.317486,2458000.5,0.4054789391223797,1.062613440594973,29.97955176309085,280.3174924693282,0.6317460700053416,194.9409036905404,False
17.5,1.8794898244,803199600000,58051.773848434,0.3009671033,0,0.0636542,2458000.5,0.5484018822965251,2.306718529428724,3.246143241153584,213.2863017826745,1.041709745961739,112.3129187151667,False
22,0.2366137501,803199600000,48510.8460294847,0.0656199111,7,0.0589302,2458000.5,0.30977234666475,1.150231297936064,20.01862819566331,268.0963340337385,0.7939214495671685,318.6663283583578,False
23,0.1492931834,803199600000,15594.1889718321,0.0942749026,5,0.0949569,2458000.5,0.2318209307064729,1.438387666344343,7.096661497807136,253.4295183007643,1.104939298815686,309.8889442894267,False
21.5,0.2978790628,803199600000,60977.876287972,0.30841203,4,0.0738937,2458000.5,0.5261474187914922,2.161978055705668,4.440911302351275,237.8567752670393,1.024458882212282,348.3639762732325,False
16.5,2.978790628,803804400000,47212.3512417499,0.046096606,0,0.0436453,2458000.5,0.3399797159866457,0.7531844336406677,24.9272962782371,272.6928189515696,0.4971170038059509,204.1265053446825,True
20.2,0.5420507863,803804400000,39836.0840499454,0.4891910301,0,0.0270542,2458000.5,0.4614920351674892,1.087142228849047,18.2835214315469,246.750955268562,0.5854347491409798,310.1782421031937,True
27.1,0.0225964377,803804400000,45187.8342415099,0.1217900305,1,0.00108035,2458000.5,0.3884472788369994,0.830728067890893,5.059664077001305,166.1544806171286,0.5080340104651575,338.7787406603182,False
27.2,0.0215794305,803804400000,45095.5250793342,0.373472573,7,0.00396247,2458000.5,0.3601241569688025,0.9297454068141836,0.4952217100602064,323.4926064565487,0.5949216259896094,281.3559795432977,False
21.571,0.2882969041,803804400000,46207.179438313004,0.3169188022,5,0.119136,2458000.5,0.294842973658921,1.498548586522003,6.801303325578496,56.16673208709447,1.056712065099482,19.03910493734082,False
18.7,1.0815335068,805186800000,87708.4402273942,0.4537824533,0,0.00197078,2458000.5,0.4921266252859243,1.694978563392385,7.83911684920814,326.9024685776038,0.8608344830581066,36.11013318463239,True
20.6,0.4508582062,805186800000,32231.4086108898,0.1383051498,0,0.0355235,2456346.5,0.4120948370750944,0.9138520280653585,5.208499321631484,205.2425729545676,0.53725832544902,330.2984546084541,True
18.1,1.4257388333,805186800000,56140.6957679617,0.3871723975,0,0.243876,2458000.5,0.3929044048426266,1.90717825097135,19.80151512180682,90.67146973110701,1.15783951534465,138.6044236764724,False
19.5,0.7482383761,805186800000,113787.8471836879,0.4129162592,0,0.00803028,2458000.5,0.5374951507131843,1.854462055451618,38.50091552904151,124.7942812859417,0.8576976934647692,264.9401353771952,True
